id,name,category,median_price,sales_per_day,tier
1rd7r,«Житница»,other,77000.0,22.2,T2 10-100k
vjmwg,Серия «Наследие Империи»,other,340000.0,22.07,T3 100k-1M
wgko,Роза Изнанки,artefact/other_arts,1110510.0,21.98,T4 1-10M
wjr9d,Глушитель Salvo 12,attachment/barrel,4999999.0,21.7,T4 1-10M
rw4ry,Барабанный магазин 5.56 NATO EMAG,attachment/mag,1433333.0,21.66,T4 1-10M
nv43,Рюкзак NPA,backpacks,625000.0,21.15,T3 100k-1M
g4mgp,IMI Micro Uzi,weapon/pistol,249500.0,20.81,T3 100k-1M
5rm0,Ключик,artefact/other_arts,640000.0,20.51,T3 100k-1M
rw23l,«Волна»,weapon/sniper_rifle,2983999.5,20.13,T4 1-10M
wj2no,Армейские галеты,supply/food,86000.0,19.98,T2 10-100k
210rv,Пси-излучатель «Шепота»,misc,116000.0,19.82,T3 100k-1M
2ony6,IWI Tavor X95,weapon/assault_rifle,8900000.0,19.72,T4 1-10M
40pn,Аномальные дрожжи,misc,110000.0,17.99,T3 100k-1M
4nnj,Гремучая ртуть,misc,15555.0,17.02,T2 10-100k
z29n,Динамит,misc,180000.0,16.73,T3 100k-1M
y3prz,"Тактический блок AN/PEQ 15, черный",attachment/other,450000.0,16.57,T3 100k-1M
d3kg,Контейнер «Берлога-5»,containers,894443.5,16.49,T3 100k-1M
40dl,Водород,misc,135000.0,16.42,T3 100k-1M
n42m9,Мачете «ЭМЧес»,weapon/melee,190000.0,16.21,T3 100k-1M
96m9q,«Родной двор»,other,55000.0,16.09,T2 10-100k
3g7wg,Прицел коллиматорный DM,attachment/collimator_sights,999999.0,16.01,T3 100k-1M
r29y,Гормоны,misc,75000.0,15.58,T2 10-100k
glnp,Советский походный рюкзак,backpacks,2500000.0,15.57,T4 1-10M
y75z,Сок,supply/drink,100000.0,15.16,T3 100k-1M
dmpjn,GLK-1,other,3100000.0,15.15,T4 1-10M
qjlzj,Сумка СЭП 7.62 мм,bullet,129999.0,15.1,T3 100k-1M
2odnv,«Плейбой»,other,150000.0,14.71,T3 100k-1M
kny0y,Сумка СЭП 5.56 мм,bullet,94443.0,14.64,T2 10-100k
o335,Контейнер «КЗС-2У»,containers,189950.0,14.35,T3 100k-1M
p63w4,Derya MK-12 AS-103S,weapon/shotgun_rifle,4349995.0,14.33,T4 1-10M
g40mn,Серия «Служивый»,other,574999.5,14.29,T3 100k-1M
okdpo,«Веселый лимонад»,supply/drink,15000.0,14.26,T2 10-100k
969jz,Steyr AUG A2,weapon/assault_rifle,600000.0,14.21,T3 100k-1M
4lrn,Висмут,artefact/other_arts,99995.0,13.96,T2 10-100k
vjrr7,«Дагон»,other,310000.0,13.84,T3 100k-1M
3gkk1,Трофейный камуфляж «Erbsenmuster»,other,52000.0,13.83,T2 10-100k
1dwq,Базовое вино,supply/drink,83900.0,13.67,T2 10-100k
6wvqy,Прицел коллиматорный Панорама,attachment/collimator_sights,1750000.0,13.65,T4 1-10M
9mn0,Рыбное филе,supply/food,88499.5,13.46,T2 10-100k
j56y7,"Тактический блок AN/PEQ 15, черный (зеленый лазер)",attachment/other,454999.5,13.33,T3 100k-1M
5lv7q,"Тактическая рукоятка REG Fab Defence, серый",attachment/handgrips,402500.0,13.06,T3 100k-1M
dmzy2,Камуфляж «Амеба» обр. 1942 г.,other,55000.0,12.7,T2 10-100k
7lrn9,«Турист»,other,170000.0,12.49,T3 100k-1M
zz939,ДТК «Вихрь»,attachment/barrel,199995.0,12.23,T3 100k-1M
jool,Анилин,misc,14500.0,12.17,T2 10-100k
ly2m1,M1014,weapon/shotgun_rifle,760000.0,12.15,T3 100k-1M
3gv2z,Премиум на 90 дней,other,5000000.0,12.12,T4 1-10M
zjn9,Ингибитор ядра,other,450000.0,12.09,T3 100k-1M
zz72k,Серия «Прозрение»,other,500000.0,12.06,T3 100k-1M
rw2ky,МЦ-255,weapon/shotgun_rifle,449999.5,12.06,T3 100k-1M
6wr6n,«Мирняк»,other,75000.0,12.03,T2 10-100k
l601,Патрон 7.62 мм снайперский,bullet,30000.0,12.0,T2 10-100k
96mwq,«Счастливый билет»,other,50500.0,11.87,T2 10-100k
kmmj,Промышленный растворитель,misc,47215.0,11.79,T2 10-100k
2o405,Камуфляж «Пальмовая амеба»,other,69999.0,11.46,T2 10-100k
wjg2o,Тяжелый бронекостюм «Алтын-Т»,armor/combat,799999.5,11.13,T3 100k-1M
4d3p,Патрон 7.62 мм «Динозавр»,bullet,17777.0,10.93,T2 10-100k
3g2yz,Трофейный камуфляж «Erbsenmuster»,other,50000.0,10.88,T2 10-100k
kn573,«Кореш»,other,5000000.0,10.78,T4 1-10M
okm10,Steyr AUG 9mm,weapon/submachine_gun,565000.0,10.78,T3 100k-1M
0row1,Рыбные консервы,supply/food,34500.0,10.62,T2 10-100k
w77z,Этилалюмин,misc,23499.5,10.34,T2 10-100k
j5mg7,Игристое шампанское,supply/drink,154999.0,10.12,T3 100k-1M
5lqp1,Сумка зажигательных 9x39 мм,bullet,28000.0,10.11,T2 10-100k
z2y2,Аномальные гены,misc,135000.0,10.07,T3 100k-1M
dm9qn,Камуфляж «Амеба» обр. 1942 г.,other,55000.0,9.84,T2 10-100k
gmy0,Очищающий реагент,misc,878333.0,9.78,T3 100k-1M
j3ml,Контейнер «КСМ»,containers,3799997.0,9.77,T4 1-10M
rw27g,«Рапира»,weapon/assault_rifle,950000.0,9.46,T3 100k-1M
7l229,Трофейный камуфляж «Luft Splinter»,other,122500.0,9.43,T3 100k-1M
m02wr,«Сбой»,other,3097000.0,8.9,T4 1-10M
4qzpr,Сумка СЭП 5.45 мм,bullet,91888.0,8.83,T2 10-100k
npr6,Цинк,misc,21900.0,8.81,T2 10-100k
p6056,Каша гороховая с мясом,supply/food,54000.0,8.8,T2 10-100k
vr1n,Плазма крови,misc,35000.0,8.75,T2 10-100k
y35l3,УКАЗ «Спаннер»,armor/combined,2336615.5,8.69,T4 1-10M
5lnv0,HK MP5K,weapon/submachine_gun,200000.0,8.36,T3 100k-1M
969r0,«Цунами»,weapon/submachine_gun,400000.0,8.36,T3 100k-1M
l2oo,Зажигательное покрытие,misc,50000.0,8.22,T2 10-100k
5l7m4,«Гвоздодер»,other,1210000.0,8.17,T4 1-10M
qjg24,Саперная лопата,weapon/melee,189500.0,8.02,T3 100k-1M
dm2y9,2A Armament X3 Compensator,attachment/barrel,9299000.0,7.86,T4 1-10M
j52lg,"Магазин 7.62 NATO PMAG, хаки",attachment/mag,3999998.5,7.7,T4 1-10M
vjm3p,Камуфляж «Березка» обр. 1943 г.,other,60000.0,7.63,T2 10-100k
6w22n,Трофейный камуфляж «Sumpfmuster» обр. 1943 г.,other,50000.0,7.61,T2 10-100k
yqq0,Контейнер «КЗС-1У»,containers,75000.5,7.58,T2 10-100k
7ldq3,Трофейный камуфляж «Luft Splinter»,other,113055.5,7.27,T3 100k-1M
5lpo4,ПБС-4,attachment/barrel,482500.0,7.22,T3 100k-1M
g07g,Тиражный ликер,supply/drink,80000.0,7.18,T2 10-100k
17k6,Фермент мутации,misc,19250.0,7.14,T2 10-100k
ovo4,Абразив,misc,39999.5,7.12,T2 10-100k
6wjkj,Трофейный камуфляж «Sumpfmuster» обр. 1943 г.,other,57277.5,7.05,T2 10-100k
qj9n6,Пломбир,supply/food,119999.5,6.98,T3 100k-1M
wjro3,"Барабанный магазин 5.56 NATO, хаки",attachment/mag,1999994.5,6.86,T4 1-10M
2own6,Камуфляж «Пальмовая амеба»,other,76000.0,6.79,T2 10-100k
vjg2d,MPL-2,other,6500000.0,6.79,T4 1-10M
okrq0,Мясные консервы,supply/food,154999.5,6.79,T3 100k-1M
g3zg,Квазидеструктор,weapon_modules/weapon_module_remover,3333333.0,6.75,T4 1-10M
2o760,ЛЦУ Truglo-Ace,attachment/other,19449999.5,6.64,T5 >10M
m0jyj,Премиум на 1 день,other,1499999.5,6.61,T4 1-10M
y31mk,Сумка СЭП 9 мм,bullet,82499.5,6.48,T2 10-100k
vj5rd,Камуфляж «Березка» обр. 1943 г.,other,66666.0,6.29,T2 10-100k
96k7l,JDK-3,other,3672221.5,6.15,T4 1-10M
5lr4q,Защитный бронекостюм «Йорш»,armor/combat,2150000.0,5.95,T4 1-10M
5lvdq,Угловая рукоятка РК-1,attachment/handgrips,34325000.0,5.86,T5 >10M
4q3nn,«Инфразвук»,other,3800000.0,5.8,T4 1-10M
knv5y,HK417 (А),weapon/assault_rifle,47250000.0,5.67,T5 >10M
lyv9k,X95 (А),weapon/assault_rifle,37500000.0,5.67,T5 >10M
wj792,Alpine TPG-1,weapon/sniper_rifle,3300000.0,5.54,T4 1-10M
z102,Патрон 5.56 мм жгучий,bullet,45000.0,5.49,T2 10-100k
n4l63,Вареный тунец,supply/food,127000.0,5.33,T3 100k-1M
1r15q,«Одеяние Охотника»,other,5900000.0,5.3,T4 1-10M
19yr2,Часть Lantac BMD #3,misc,4444440.0,5.28,T4 1-10M
6w64y,Grizzly 8.5,weapon/shotgun_rifle,600000.0,5.26,T3 100k-1M
